Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
11.861667	17.642691	-0.169232
11.863333	17.642361	-0.169229
11.865000	17.642025	-0.169226
11.866667	17.641768	-0.169223
11.868333	17.641121	-0.169217
11.870000	17.641180	-0.169211
11.871666	17.640331	-0.169204
11.873334	17.640331	-0.169198
11.875000	17.640049	-0.169193
11.876666	17.640070	-0.169190
11.878334	17.639355	-0.169189
11.880000	17.638922	-0.169186
11.881667	17.638750	-0.169185
11.883333	17.638012	-0.169185
11.885000	17.638348	-0.169184
11.886667	17.637985	-0.169183
11.888333	17.636713	-0.169181
11.890000	17.636564	-0.169177
11.891667	17.636650	-0.169173
11.893333	17.636501	-0.169168
11.895000	17.635994	-0.169162
11.896666	17.635059	-0.169157
11.898334	17.635929	-0.169154
11.900000	17.635239	-0.169153
11.901666	17.634520	-0.169150
11.903334	17.633360	-0.169145
11.905000	17.634010	-0.169141
11.906667	17.633530	-0.169137
11.908333	17.633060	-0.169133
11.910000	17.632782	-0.169130
11.911667	17.632898	-0.169130
11.913333	17.632151	-0.169130
11.915000	17.632158	-0.169130
11.916667	17.632334	-0.169132
11.918333	17.630575	-0.169133
11.920000	17.630096	-0.169133
11.921666	17.631260	-0.169133
11.923334	17.630205	-0.169131
11.925000	17.630571	-0.169128
11.926666	17.629950	-0.169122
11.928334	17.629522	-0.169117
11.930000	17.629135	-0.169113
11.931667	17.629309	-0.169110
11.933333	17.628477	-0.169107
11.935000	17.628672	-0.169103
11.936667	17.628593	-0.169097
11.938333	17.627941	-0.169094
11.940000	17.626549	-0.169091
11.941667	17.626472	-0.169089
11.943333	17.626822	-0.169086
11.945000	17.626348	-0.169085
11.946666	17.625551	-0.169083
11.948334	17.624851	-0.169082
11.950000	17.625340	-0.169081
11.951666	17.624630	-0.169079
11.953334	17.623898	-0.169077
11.955000	17.623550	-0.169075
11.956667	17.623001	-0.169075
11.958333	17.624168	-0.169075
11.960000	17.622965	-0.169072
11.961667	17.621883	-0.169071
11.963333	17.621466	-0.169069
11.965000	17.621666	-0.169068
11.966667	17.621969	-0.169067
11.968333	17.621391	-0.169065
11.970000	17.620256	-0.169061
11.971666	17.620510	-0.169057
11.973334	17.619900	-0.169053
11.975000	17.619431	-0.169048
11.976666	17.620153	-0.169044
11.978334	17.619131	-0.169040
11.980000	17.619719	-0.169034
11.981667	17.617752	-0.169029
11.983333	17.617762	-0.169024
11.985000	17.617489	-0.169024
11.986667	17.616602	-0.169024
11.988333	17.617348	-0.169024
11.990000	17.616678	-0.169025
11.991667	17.616869	-0.169027
11.993333	17.615303	-0.169029
11.995000	17.615789	-0.169033
11.996666	17.615759	-0.169034
11.998334	17.613920	-0.169035
12.000000	17.614407	-0.169035
12.001666	17.613861	-0.169032
12.003334	17.613478	-0.169032
12.005000	17.613522	-0.169032
12.006667	17.613451	-0.169031
12.008333	17.613663	-0.169029
12.010000	17.611597	-0.169029
12.011667	17.611639	-0.169029
12.013333	17.612537	-0.169030
12.015000	17.611219	-0.169028
12.016667	17.610645	-0.169026
12.018333	17.610176	-0.169023
12.020000	17.610935	-0.169019
12.021666	17.611227	-0.169016
12.023334	17.609612	-0.169015
12.025000	17.610020	-0.169014
12.026666	17.609100	-0.169014
12.028334	17.609547	-0.169014
12.030000	17.608795	-0.169015
12.031667	17.608488	-0.169016
12.033333	17.607517	-0.169016
12.035000	17.608959	-0.169014
12.036667	17.607540	-0.169012
12.038333	17.605961	-0.169009
12.040000	17.606731	-0.169004
12.041667	17.607508	-0.168999
12.043333	17.606241	-0.168995
12.045000	17.606644	-0.168993
12.046666	17.605328	-0.168992
12.048334	17.604755	-0.168991
12.050000	17.604797	-0.168989
12.051666	17.604086	-0.168986
12.053334	17.604448	-0.168982
12.055000	17.604816	-0.168977
12.056667	17.603025	-0.168972
12.058333	17.603666	-0.168970
12.060000	17.602732	-0.168969
12.061667	17.602192	-0.168967
12.063333	17.602558	-0.168966
12.065000	17.601543	-0.168965
12.066667	17.601162	-0.168965
12.068333	17.600826	-0.168963
12.070000	17.600433	-0.168958
12.071666	17.599463	-0.168955
12.073334	17.599752	-0.168950
12.075000	17.599453	-0.168946
12.076666	17.598804	-0.168945
12.078334	17.600117	-0.168944
12.080000	17.598524	-0.168943
12.081667	17.598072	-0.168941
12.083333	17.596886	-0.168939
12.085000	17.597498	-0.168938
12.086667	17.595995	-0.168937
12.088333	17.596802	-0.168936
12.090000	17.595833	-0.168936
12.091667	17.595480	-0.168935
12.093333	17.595613	-0.168934
12.095000	17.595263	-0.168933
12.096666	17.595345	-0.168931
12.098334	17.594473	-0.168928
12.100000	17.594736	-0.168923
12.101666	17.594187	-0.168918
12.103334	17.593126	-0.168915
12.105000	17.593487	-0.168910
12.106667	17.592503	-0.168907
12.108333	17.592186	-0.168905
12.110000	17.592581	-0.168902
12.111667	17.593456	-0.168901
12.113333	17.591616	-0.168900
12.115000	17.590752	-0.168899
12.116667	17.590809	-0.168897
12.118333	17.591759	-0.168892
12.120000	17.590647	-0.168889
12.121666	17.591492	-0.168885
12.123334	17.590321	-0.168882
12.125000	17.589533	-0.168879
12.126666	17.589422	-0.168876
12.128334	17.588152	-0.168871
12.130000	17.588270	-0.168866
12.131667	17.588474	-0.168862
12.133333	17.587606	-0.168856
12.135000	17.588005	-0.168852
12.136667	17.587215	-0.168845
12.138333	17.586973	-0.168838
12.140000	17.585840	-0.168830
12.141667	17.585436	-0.168823
12.143333	17.585320	-0.168817
12.145000	17.585230	-0.168811
12.146666	17.585035	-0.168806
12.148334	17.584867	-0.168804
12.150000	17.584482	-0.168802
12.151666	17.584736	-0.168802
12.153334	17.584171	-0.168803
12.155000	17.583458	-0.168806
12.156667	17.583546	-0.168806
12.158333	17.582497	-0.168804
12.160000	17.583162	-0.168802
12.161667	17.582195	-0.168800
12.163333	17.581781	-0.168799
12.165000	17.581184	-0.168798
12.166667	17.582054	-0.168798
12.168333	17.582338	-0.168798
12.170000	17.581560	-0.168798
12.171666	17.580051	-0.168800
12.173334	17.579823	-0.168800
12.175000	17.579588	-0.168799
12.176666	17.578983	-0.168796
12.178334	17.578588	-0.168791
12.180000	17.578913	-0.168784
12.181667	17.577579	-0.168776
12.183333	17.578260	-0.168769
12.185000	17.577904	-0.168762
12.186667	17.577509	-0.168757
12.188333	17.576767	-0.168754
12.190000	17.577377	-0.168754
12.191667	17.576399	-0.168756
12.193333	17.575495	-0.168761
12.195000	17.575977	-0.168765
12.196666	17.575363	-0.168770
12.198334	17.576609	-0.168774
12.200000	17.574358	-0.168776
12.201666	17.575129	-0.168778
12.203334	17.574564	-0.168779
12.205000	17.575031	-0.168779
12.206667	17.573942	-0.168778
12.208333	17.573496	-0.168778
12.210000	17.573231	-0.168777
12.211667	17.573141	-0.168775
12.213333	17.572760	-0.168771
12.215000	17.572998	-0.168766
12.216667	17.572441	-0.168760
12.218333	17.572199	-0.168754
12.220000	17.571869	-0.168750
12.221666	17.571209	-0.168747
12.223334	17.570297	-0.168745
12.225000	17.570141	-0.168743
12.226666	17.569271	-0.168743
12.228334	17.567919	-0.168742
12.230000	17.569033	-0.168741
12.231667	17.568663	-0.168741
12.233333	17.568645	-0.168739
12.235000	17.568392	-0.168736
12.236667	17.567587	-0.168729
12.238333	17.567259	-0.168722
12.240000	17.566198	-0.168715
12.241667	17.566454	-0.168706
12.243333	17.565222	-0.168698
12.245000	17.565928	-0.168692
12.246666	17.565847	-0.168685
12.248334	17.564749	-0.168681
12.250000	17.564651	-0.168678
12.251666	17.564671	-0.168676
12.253334	17.563217	-0.168676
12.255000	17.563015	-0.168673
12.256667	17.562386	-0.168671
12.258333	17.561924	-0.168666
12.260000	17.562840	-0.168662
12.261667	17.561222	-0.168658
12.263333	17.561146	-0.168655
12.265000	17.560665	-0.168652
12.266667	17.561510	-0.168649
12.268333	17.561007	-0.168647
12.270000	17.559832	-0.168646
12.271666	17.561253	-0.168645
12.273334	17.560375	-0.168643
12.275000	17.560085	-0.168642
12.276666	17.558657	-0.168640
12.278334	17.558401	-0.168639
12.280000	17.558666	-0.168639
12.281667	17.557728	-0.168639
12.283333	17.558468	-0.168640
12.285000	17.557516	-0.168640
12.286667	17.557409	-0.168638
12.288333	17.556633	-0.168635
12.290000	17.557272	-0.168632
12.291667	17.556295	-0.168629
12.293333	17.555721	-0.168627
12.295000	17.555658	-0.168623
12.296666	17.555080	-0.168617
12.298334	17.555973	-0.168613
12.300000	17.554800	-0.168609
12.301666	17.554031	-0.168607
12.303334	17.555235	-0.168605
12.305000	17.554319	-0.168601
12.306667	17.554419	-0.168596
12.308333	17.553305	-0.168593
12.310000	17.551752	-0.168590
12.311667	17.552687	-0.168590
12.313333	17.552063	-0.168588
12.315000	17.551973	-0.168587
12.316667	17.550751	-0.168586
12.318333	17.551764	-0.168588
12.320000	17.550018	-0.168589
12.321666	17.550341	-0.168589
12.323334	17.549484	-0.168589
12.325000	17.549183	-0.168588
12.326666	17.549946	-0.168586
12.328334	17.549402	-0.168586
12.330000	17.548569	-0.168586
12.331667	17.548996	-0.168587
12.333333	17.547970	-0.168585
12.335000	17.548582	-0.168583
12.336667	17.547346	-0.168581
12.338333	17.547140	-0.168578
12.340000	17.546818	-0.168574
12.341667	17.546083	-0.168570
12.343333	17.545710	-0.168566
12.345000	17.546566	-0.168559
12.346666	17.546455	-0.168554
12.348334	17.544870	-0.168550
12.350000	17.545324	-0.168547
12.351666	17.544151	-0.168544
12.353334	17.544704	-0.168539
12.355000	17.544312	-0.168534
12.356667	17.543606	-0.168530
12.358333	17.542812	-0.168524
12.360000	17.542568	-0.168519
12.361667	17.542547	-0.168513
12.363333	17.542223	-0.168507
12.365000	17.541475	-0.168502
12.366667	17.541248	-0.168498
12.368333	17.540356	-0.168492
12.370000	17.540222	-0.168488
12.371666	17.540840	-0.168486
12.373334	17.539961	-0.168483
12.375000	17.539690	-0.168484
12.376666	17.538521	-0.168485
12.378334	17.539394	-0.168486
12.380000	17.540409	-0.168487
12.381667	17.538607	-0.168489
12.383333	17.537865	-0.168491
12.385000	17.537062	-0.168493
12.386667	17.538303	-0.168492
12.388333	17.537762	-0.168492
12.390000	17.537653	-0.168493
12.391667	17.537254	-0.168494
12.393333	17.536509	-0.168493
12.395000	17.535507	-0.168491
12.396666	17.536736	-0.168488
12.398334	17.535271	-0.168483
12.400000	17.535221	-0.168479
12.401666	17.534456	-0.168477
12.403334	17.534578	-0.168474
12.405000	17.533966	-0.168471
12.406667	17.533949	-0.168468
12.408333	17.533609	-0.168467
12.410000	17.533804	-0.168466
12.411667	17.533434	-0.168466
12.413333	17.532160	-0.168467
12.415000	17.531488	-0.168466
12.416667	17.531849	-0.168463
12.418333	17.531258	-0.168461
12.420000	17.531145	-0.168459
12.421666	17.531027	-0.168456
12.423334	17.530260	-0.168455
12.425000	17.530584	-0.168454
12.426666	17.530210	-0.168451
12.428334	17.529348	-0.168448
12.430000	17.529316	-0.168445
12.431667	17.529457	-0.168441
12.433333	17.528282	-0.168438
12.435000	17.528175	-0.168437
12.436667	17.527864	-0.168437
12.438333	17.527473	-0.168439
12.440000	17.527609	-0.168442
12.441667	17.526356	-0.168446
12.443333	17.526333	-0.168450
12.445000	17.526800	-0.168452
12.446666	17.526581	-0.168453
12.448334	17.525032	-0.168454
12.450000	17.524998	-0.168452
12.451666	17.524368	-0.168447
12.453334	17.525061	-0.168441
12.455000	17.523882	-0.168435
12.456667	17.524300	-0.168428
12.458333	17.523073	-0.168419
12.460000	17.523071	-0.168412
12.461667	17.521803	-0.168407
12.463333	17.522720	-0.168402
12.465000	17.522541	-0.168398
12.466667	17.522171	-0.168393
12.468333	17.521652	-0.168387
12.470000	17.521341	-0.168384
12.471666	17.521387	-0.168381
12.473334	17.520407	-0.168379
12.475000	17.519592	-0.168378
12.476666	17.519627	-0.168375
12.478334	17.518999	-0.168373
12.480000	17.518562	-0.168370
12.481667	17.518219	-0.168367
12.483333	17.517956	-0.168366
12.485000	17.518330	-0.168363
12.486667	17.517937	-0.168361
12.488333	17.517586	-0.168363
12.490000	17.517254	-0.168364
12.491667	17.517092	-0.168364
12.493333	17.516331	-0.168364
12.495000	17.515711	-0.168364
12.496666	17.515099	-0.168363
12.498334	17.515802	-0.168361
12.500000	17.514957	-0.168357
12.501666	17.514746	-0.168351
12.503334	17.514221	-0.168346
12.505000	17.513435	-0.168340
12.506667	17.514275	-0.168335
12.508333	17.513636	-0.168331
12.510000	17.513548	-0.168327
12.511667	17.512888	-0.168324
12.513333	17.512730	-0.168323
12.515000	17.512300	-0.168322
12.516667	17.511902	-0.168320
12.518333	17.511209	-0.168317
12.520000	17.511206	-0.168314
12.521666	17.511438	-0.168313
12.523334	17.510473	-0.168311
12.525000	17.510332	-0.168309
12.526666	17.509834	-0.168306
12.528334	17.510431	-0.168303
12.530000	17.509233	-0.168304
12.531667	17.510248	-0.168303
12.533333	17.508478	-0.168302
12.535000	17.508820	-0.168301
12.536667	17.508358	-0.168298
12.538333	17.507385	-0.168296
12.540000	17.507442	-0.168293
12.541667	17.507803	-0.168291
12.543333	17.506710	-0.168290
12.545000	17.506884	-0.168290
12.546666	17.505991	-0.168288
12.548334	17.505630	-0.168288
12.550000	17.506041	-0.168288
12.551666	17.504570	-0.168287
12.553334	17.504837	-0.168287
12.555000	17.503695	-0.168286
12.556667	17.503843	-0.168286
12.558333	17.504410	-0.168284
12.560000	17.502989	-0.168280
12.561667	17.502934	-0.168278
12.563333	17.502937	-0.168278
12.565000	17.502705	-0.168278
12.566667	17.503111	-0.168278
12.568333	17.501411	-0.168278
12.570000	17.501467	-0.168277
12.571666	17.501276	-0.168275
12.573334	17.500460	-0.168274
12.575000	17.500874	-0.168272
12.576666	17.500317	-0.168269
12.578334	17.499798	-0.168266
12.580000	17.499283	-0.168262
12.581667	17.498917	-0.168261
12.583333	17.498732	-0.168261
12.585000	17.497822	-0.168261
12.586667	17.497311	-0.168262
12.588333	17.498180	-0.168264
12.590000	17.497335	-0.168263
12.591667	17.496170	-0.168265
12.593333	17.497007	-0.168265
12.595000	17.495977	-0.168265
12.596666	17.496042	-0.168264
12.598334	17.495794	-0.168263
12.600000	17.494465	-0.168262
12.601666	17.494350	-0.168260
12.603334	17.493940	-0.168257
12.605000	17.494165	-0.168256
12.606667	17.494268	-0.168255
12.608333	17.492565	-0.168255
12.610000	17.493383	-0.168254
12.611667	17.492561	-0.168252
12.613333	17.492268	-0.168253
12.615000	17.491760	-0.168253
12.616667	17.491379	-0.168255
12.618333	17.491190	-0.168255
12.620000	17.490585	-0.168256
12.621666	17.490911	-0.168260
12.623334	17.490711	-0.168261
12.625000	17.489693	-0.168262
12.626666	17.489595	-0.168264
12.628334	17.488991	-0.168264
12.630000	17.489054	-0.168266
